name,slot_type,family,is_named,is_exotic,base_damage,rpm,base_mag_size,reload_time,optimal_range,hsd,sight,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
SRS A1,main,SRS,FALSE,FALSE,,,,,,0,type:sight-optics,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Pinprick,main,SRS,TRUE,FALSE,,,,,,0,type:sight-optics,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,fixed:perfect-first-blood,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Mantis,main,SRS,FALSE,TRUE,,,,,,0,fixed:Anti-Glint Coated Sight,fixed:Well-Oiled Machine,fixed:Wrapped Suppresor,fixed:Ghillie Frame,fixed:in-plain-sight,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Classic M44 Carbine,main,M44,FALSE,FALSE,,,,,,0,type:sight-long,type:mag-integrated,N/A,type:underbarrel-short,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Hunting M44,main,M44,FALSE,FALSE,,,,,,0,,,,,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Custom M44,main,M44,FALSE,FALSE,,,,,,0,type:sight-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Instigator,main,M44,TRUE,FALSE,,,,,,0,type:sight-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:perfect-soft-spot,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Oh Carol,main,M44,TRUE,FALSE,,,,,,0,fixed:VX1 Scope  (12x),N/A,N/A,N/A,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage:137%,N/A,,N/A,N/A
The White Death,main,M44,TRUE,FALSE,,,,,,0,type:sight-long,type:mag-integrated,N/A,type:underbarrel-short,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage:137%,N/A,,N/A,N/A
SR-1,main,DSR-1,FALSE,FALSE,,,,,,0,type:sight-optics,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Adrestia,main,DSR-1,FALSE,FALSE,,,,,,0,,,,,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Designated Hitter,main,DSR-1,TRUE,FALSE,,,,,,0,type:sight-optics,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-short,fixed:perfect-reformation,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Tactical .308,main,Tactical .308,FALSE,FALSE,,,,,,0,type:sight-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,type:marksman-rifle,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Scalpel,main,Tactical .308,TRUE,FALSE,,,,,,0,type:sight-long,type:mag-mmr-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:future-perfection,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
Nemesis,main,Custom AWM,FALSE,TRUE,,,,,,0,fixed:Nemesis Digital Scope,fixed:Nemesis Bolt,fixed:Nemesis Barrel,fixed:Nemesis Bipod,fixed:electromagnetic-accelerator,Marksman Rifle Damage,Headshot Damage,N/A,,N/A,N/A
