name,slot_type,family,is_named,is_exotic,base_damage,rpm,base_mag_size,reload_time,optimal_range,hsd,optics,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
PP-19,main,PP-19,FALSE,FALSE,,,,,,50,type:optics-long,N/A,type:muzzle-9mm,N/A,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Enhanced PP-19,main,PP-19,FALSE,FALSE,,,,,,50,type:optics-long,N/A,type:muzzle-9mm,N/A,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Cold Relations,main,PP-19,TRUE,FALSE,,,,,,50,type:optics-long,N/A,type:muzzle-9mm,N/A,fixed:Perfect Strained,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
AUG A3 Para XS,main,AUG,FALSE,FALSE,,,,,,50,type:optics-normal,type:mag-9mm,type:muzzle-9mm,type:underbarrel-long,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Enhanced AUG A3P,main,AUG,FALSE,FALSE,,,,,,50,type:optics-normal,type:mag-9mm,type:muzzle-9mm,type:underbarrel-long,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Tactical AUG A3P,main,AUG,FALSE,FALSE,,,,,,50,type:optics-normal,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Interchange,main,AUG,TRUE,FALSE,,,,,,50,,,,,fixed:Perfect Back and Forth,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Vector SBR .45 ACP,main,Vector,FALSE,FALSE,,,,,,50,type:optics-normal,type:mag-45-acp,type:muzzle-45,N/A,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Vector SBR 9mm,main,Vector,FALSE,FALSE,,,,,,50,type:optics-normal,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Tactical Vector SBR 9mm,main,Vector,FALSE,FALSE,,,,,,50,type:optics-normal,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Froth,main,Vector,TRUE,FALSE,,,,,,50,type:optics-normal,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,fixed:Perfect Immobilize,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Dark Winter,main,Vector,TRUE,FALSE,,,,,,50,type:optics-normal,type:mag-45-acp,type:muzzle-45,type:underbarrel-long,fixed:Perfect Killer,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Ouroboros,main,Vector,FALSE,TRUE,38300.5,1275,50,1.91,15,50,fixed:Infinity Sights,fixed:Serpent Magazine,fixed:Weather-Resistant Muzzle,fixed:Light Heavy-Duty Grip,fixed:Rule Them All,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
MP7,main,MP7,FALSE,FALSE,,,,,,50,type:optics-long,N/A,type:muzzle-5.56,type:underbarrel-short,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Swap Chain,main,MP7,TRUE,FALSE,,,,,,50,type:optics-long,N/A,N/A,type:underbarrel-short,fixed:Perfect Unwavering,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Oxpecker,main,MP7,FALSE,TRUE,46405.5,950,40,1.45,21.33,50,fixed:Oxpecker Optic,N/A,fixed:Oxpecker Muzzle,fixed:Oxpecker Underbarrel,fixed:Symbiosis,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Police T821,main,T821,FALSE,FALSE,,,,,,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Black Market T821,main,T821,FALSE,FALSE,,,,,,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Police UMP-45,main,UMP-45,FALSE,FALSE,,,,,,50,type:optics-normal,type:mag-45-acp,type:muzzle-45,type:underbarrel-long,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Tactical UMP-45,main,UMP-45,FALSE,FALSE,,,,,,50,type:optics-long,type:mag-45-acp,type:muzzle-45,type:underbarrel-long,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Slingshot,main,UMP-45,TRUE,FALSE,,,,,,50,type:optics-long,type:mag-45-acp,type:muzzle-45,type:underbarrel-long,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
M1928,main,Thompson,FALSE,FALSE,,,,,,50,N/A,type:mag-45-acp,N/A,N/A,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Tommy Gun,main,Thompson,FALSE,FALSE,,,,,,50,N/A,N/A,N/A,N/A,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
The Sleigher,main,Thompson,TRUE,FALSE,,,,,,50,N/A,N/A,N/A,N/A,fixed:Hidden Rock,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Grown Great,main,Thompson,TRUE,FALSE,,,,,,50,N/A,N/A,N/A,N/A,fixed:Perfect Stabilize,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
P90,main,P90,FALSE,FALSE,,,,,,50,type:optics-short,N/A,type:muzzle-5.56,N/A,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Emeline's Guard,main,P90,TRUE,FALSE,,,,,,50,type:optics-short,N/A,type:muzzle-5.56,N/A,fixed:Perfect Preservation,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
The Chatterbox,main,P90,FALSE,TRUE,39457,850,50,1.31,21,50,fixed:Modified Optics,fixed:Chatterbox Magazine,fixed:Chatterbox Muzzle,fixed:Chatterbox Canister,fixed:Incessant Chatter,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
SIG MPX,main,MPX,FALSE,FALSE,,,,,,50,type:optics-long,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Safety Distance,main,MPX,TRUE,FALSE,,,,,,50,type:optics-long,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,fixed:Perfect Outsider,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
The Apartment,main,MPX,TRUE,FALSE,,,,,,50,type:optics-long,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,fixed:Perfect Measured,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Backfire,main,MPX,FALSE,TRUE,50998.5,850,30,1.9,22,50,fixed:Quick Sight,fixed:Barbed Grip Magazine,fixed:Jagged Muzzle,fixed:Barbed Frame,fixed:Payment in Kind,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
